year,week,start_date,end_date,district,leptospirosis_cases_week,leptospirosis_cases_cumulative,parse_method,source_pdf
2007,2,2007.01.06,2007.01.12,Kurunegala,2,2,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Puttalam,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Anuradhapura,3,3,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Polonnaruwa,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Badulla,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Monaragala,4,4,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Ratnapura,0,0,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,2,2007.01.06,2007.01.12,Kegalle,1,1,pymupdf_v10,pdfs\2007_w02_vol_34_no_02_english.pdf
2007,3,2007.01.13,2007.01.19,Colombo,4,7,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Gampaha,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Kalutara,6,9,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Kandy,2,3,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Matale,2,3,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Nuwara Eliya,0,2,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Galle,3,6,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Hambantota,1,2,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Matara,6,13,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Jaffna,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Mannar,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Vavuniya,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Ampara,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Trincomalee,0,0,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Kurunegala,2,4,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Puttalam,0,1,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Anuradhapura,1,4,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Polonnaruwa,0,1,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Badulla,3,3,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Monaragala,1,5,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Ratnapura,1,1,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,3,2007.01.13,2007.01.19,Kegalle,1,2,pymupdf_v10,pdfs\2007_w03_vol_34_no_03_english.pdf
2007,4,2007.01.20,2007.01.26,Colombo,4,11,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Gampaha,2,2,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Kalutara,1,10,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Kandy,4,7,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Matale,2,5,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Nuwara Eliya,0,3,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Galle,3,9,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Hambantota,2,4,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Matara,0,13,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Jaffna,0,0,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Mannar,0,0,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Vavuniya,2,2,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Ampara,0,0,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Trincomalee,0,0,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Kurunegala,0,4,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Puttalam,1,2,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Anuradhapura,1,5,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Polonnaruwa,2,4,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Badulla,1,4,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Monaragala,1,8,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Ratnapura,0,2,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,4,2007.01.20,2007.01.26,Kegalle,3,5,pymupdf_v10,pdfs\2007_w04_vol_34_no_04_english.pdf
2007,5,2007.01.27,2007.02.02,Colombo,1,12,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Gampaha,1,3,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Kalutara,3,13,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Kandy,3,12,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Matale,1,6,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Nuwara Eliya,0,3,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Galle,0,9,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Hambantota,1,5,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Matara,1,14,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Jaffna,0,0,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Mannar,0,0,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Vavuniya,0,2,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Ampara,0,0,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Trincomalee,0,0,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Kurunegala,0,4,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Puttalam,0,2,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Anuradhapura,0,5,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Polonnaruwa,1,6,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Badulla,0,4,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Monaragala,0,8,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Ratnapura,1,3,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,5,2007.01.27,2007.02.02,Kegalle,8,13,pymupdf_v10,pdfs\2007_w05_vol_34_no_05_english.pdf
2007,6,2007.02.03,2007.02.09,Colombo,5,17,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Gampaha,2,5,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Kalutara,3,16,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Kandy,0,12,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Matale,3,9,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Nuwara Eliya,0,3,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Galle,0,9,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Hambantota,1,6,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Matara,2,16,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Jaffna,0,0,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Mannar,0,0,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Vavuniya,0,2,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Ampara,0,0,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Trincomalee,0,0,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Kurunegala,0,4,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Puttalam,1,3,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Anuradhapura,1,6,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Polonnaruwa,1,9,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Badulla,1,5,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Monaragala,0,8,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Ratnapura,1,8,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,6,2007.02.03,2007.02.09,Kegalle,4,17,pymupdf_v10,pdfs\2007_w06_vol_34_no_06_english.pdf
2007,7,2007.02.10,2007.02.16,Colombo,5,22,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Gampaha,2,7,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Kalutara,1,17,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Kandy,0,12,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Matale,1,10,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Nuwara Eliya,0,3,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Galle,2,11,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Hambantota,3,9,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Matara,0,16,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Jaffna,0,0,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Mannar,0,0,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Vavuniya,0,2,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Ampara,0,0,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Trincomalee,0,0,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Kurunegala,1,5,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Puttalam,0,3,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Anuradhapura,1,7,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Polonnaruwa,0,9,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Badulla,3,8,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Monaragala,1,9,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Ratnapura,1,10,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,7,2007.02.10,2007.02.16,Kegalle,3,20,pymupdf_v10,pdfs\2007_w07_vol_34_no_07_english.pdf
2007,8,2007.02.17,2007.02.23,Colombo,2,24,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Gampaha,2,9,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Kalutara,1,18,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Kandy,4,17,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Matale,1,11,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Nuwara Eliya,1,4,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Galle,2,13,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Hambantota,0,9,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Matara,3,19,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Jaffna,0,0,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Kilinochchi,0,0,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Mannar,0,0,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Vavuniya,0,2,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Mullaitivu,0,0,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Batticaloa,0,0,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Ampara,0,0,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Trincomalee,0,0,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
2007,8,2007.02.17,2007.02.23,Kurunegala,3,8,pymupdf_v10,pdfs\2007_w08_vol_34_no_08_english.pdf
