year,week,pdf,reason
2010,50,pdfs\2010_w50_vol_37_no_49_english.pdf,Could not find a page with enough recognizable district rows
2026,,pdfs\2026_en_63ec87e11b430_WER.pdf,Could not find a page with enough recognizable district rows
